Songname,VR,VFA,RPA,RCA,OA
daisy1,96.31768953,33.29466357,89.74729242,93.68231047,84.27863436
daisy2,97.88976378,47.96747967,91.02362205,93.60629921,84.69656992
daisy3,100,0,97.75051125,97.95501022,97.75051125
daisy4,99.76415094,0,98.58490566,98.58490566,98.58768144
opera_fem2,93.66913124,26.79738562,78.69685767,80.68391867,77.48559078
opera_fem4,94.16091954,32.43243243,85.01149425,86.06896552,83.39591156
opera_male3,81.37254902,12.95336788,67.94117647,71.47058824,70.08125363
opera_male5,91.61174356,4.554865424,86.27920911,87.98681845,87.4378435
pop1,91.56856507,26.78803641,81.67356029,82.85077951,80.01022495
pop2,95.62753036,42.5,89.55465587,89.71659919,81.13432836
pop3,68.37638376,0,67.15867159,68.81918819,74.18793503
pop4,82.94758339,3.026481715,82.33492172,82.98162015,85.44626106
Avg,91.10883418,19.19289273,84.64640653,86.20058362,83.70772882
