Songname,VR,VFA,RPA,RCA,OA
train01,91.71894605,10.79812207,83.37515684,83.68883312,85.40474244
train02,78.17589577,16.57559199,60.95858539,63.47138204,68.55558978
train03,72.36119585,2.108157654,66.38194021,68.21232459,78.97435897
train04,81.16853933,5.960854093,73.66292135,75.50561798,80.50164228
train05,92.29765013,16.90617075,85.55265448,86.2489121,84.71703533
train06,79.25170068,37.26453726,61.30952381,62.5,62.03587818
train07,84.68258591,4.444444444,77.40244613,78.15958066,83.437014
train08,90.93471113,6.534653465,85.90887741,86.14372945,88.34023574
train09,93.21063395,18.88297872,84.25357873,85.27607362,83.51579606
Avg,84.8668732,13.27505672,75.42285382,76.57849484,79.49803253
