Songname,VR,VFA,RPA,RCA,OA
AClassicEducation_NightOwl,54.28220334,12.76694093,42.78463429,46.84511407,59.06412948
Auctioneer_OurFutureFaces,70.13082929,31.78878671,58.73074488,63.85313357,63.1928737
CelestialShore_DieForUs,45.31296132,6.834407104,25.16976676,30.46944198,73.97616965
ChrisJacoby_BoothShotLincoln,70.69946452,35.43451652,46.66443552,51.47813476,49.98637169
ChrisJacoby_PigsFoot,54.73002538,10.82468347,43.65756542,47.51903387,56.27747383
Creepoid_OldTree,54.51262414,8.571141983,45.6243579,54.12658385,63.16749904
Debussy_LenfantProdigue,88.59215298,26.21120629,84.94065282,87.3846027,80.81597673
MatthewEntwistle_DontYouEver,62.5,6.173502255,57.4651433,59.7792409,74.70725995
MatthewEntwistle_FairerHopes,61.76483997,9.628784999,29.23999271,45.50925504,38.56185159
MatthewEntwistle_ImpressionsOfSaturn,61.69521917,19.18267488,41.85223776,53.03254259,55.43013214
MatthewEntwistle_Lontano,35.77557556,9.85853712,26.9895462,35.84506617,49.42535453
MatthewEntwistle_TheArch,75.27782527,15.14787101,58.12532057,68.97760301,71.21357529
MatthewEntwistle_TheFlaxenField,53.41001055,25.67034437,40.83184148,47.60281531,49.82056987
Mozart_DiesBildnis,91.63536188,32.88777016,83.78233337,87.27773604,78.91670045
MusicDelta_FusionJazz,77.27598053,26.98135198,66.87661036,69.39593473,68.53033473
MusicDelta_Gospel,96.95135876,15.78456517,94.43936972,96.46037908,91.07840883
MusicDelta_Pachelbel,85.09937411,55.06415094,40.57538157,44.62940595,41.12921779
MusicDelta_SwingJazz,61.12246636,4.486133768,55.90189065,60.03236246,65.35019455
Phoenix_BrokenPledgeChicagoReel,84.32909257,48.17351598,69.97610178,74.20397835,68.44154173
Phoenix_ColliersDaughter,88.78326996,41.06185567,73.31057726,78.40044936,69.06588722
Phoenix_ElzicsFarewell,67.17899891,41.75200494,44.95375408,55.29107726,48.5262425
Phoenix_LarkOnTheStrandDrummondCastle,85.89605089,43.41227485,77.00456128,79.37222422,73.89114954
Phoenix_ScotchMorris,90.23570438,44.91437081,80.48821478,82.73601949,74.89841395
Phoenix_SeanCaughlinsTheScartaglen,83.74639962,42.38410596,73.08594012,76.97769442,71.28818376
PortStWillow_StayEven,67.85424554,50.89027851,50.72336398,51.93347756,49.5467946
Schubert_Erstarrung,77.08378911,28.33276217,68.55173923,72.64821702,69.7656563
StrandOfOaks_Spacestation,69.49139865,12.03254304,63.60508601,65.42258788,80.21376372
Avg,70.93952677,26.15744747,57.23522829,62.48904117,64.30673063
