Songname,VR,VFA,RPA,RCA,OA
AClassicEducation_NightOwl,44.73519763,4.829070045,40.75144509,42.03249492,71.5819056
Auctioneer_OurFutureFaces,71.73256756,13.11291048,61.71857742,67.21154554,77.34215744
CelestialShore_DieForUs,64.30795358,11.56200711,36.56948769,41.67374281,76.98621006
Creepoid_OldTree,64.62774604,10.82577222,58.92898611,66.89424551,76.66538609
Debussy_LenfantProdigue,93.71510816,16.00975735,89.92498255,91.5038381,87.52402223
MatthewEntwistle_DontYouEver,76.21040048,4.469273743,72.50448296,74.04662283,85.72446798
MatthewEntwistle_Lontano,54.8867578,4.490734905,39.79289941,48.79616405,74.2325074
Mozart_BesterJungling,86.68559973,9.227574751,84.29112373,86.94732153,86.8924595
MusicDelta_Gospel,98.67549669,19.6083003,97.4309203,97.51084723,91.82953936
PortStWillow_StayEven,62.36479178,24.07895728,54.11032991,55.00270416,70.01336727
Schubert_Erstarrung,84.5767739,29.51545396,74.90873831,78.52498289,73.07384163
StrandOfOaks_Spacestation,81.99308258,12.24776384,75.47557285,76.62127108,85.048442
Avg,73.70928966,13.33146467,65.53396219,68.89714839,79.74285888
